name,category,value,complexity,size_mb,path
ecosystem_enabled_disabled.md,AI/ML,0.00,N/A,0.009,/Users/steven/iterm2/ecosystem_enabled_disabled.md
CODING_STANDARDS.md,AI/ML,1.00,N/A,0.012,/Users/steven/iterm2/CODING_STANDARDS.md
ecosystem_inventory.json,General,0.00,N/A,27.356,/Users/steven/iterm2/ecosystem_inventory.json
docs-02-10-16:59.csv,Data Analysis,1.00,N/A,0.049,/Users/steven/iterm2/docs-02-10-16:59.csv
 🚀 The Ultimate AI Ecosystem.txt,AI/ML,1.00,N/A,1.277,/Users/steven/iterm2/ 🚀 The Ultimate AI Ecosystem.txt
AGENTS.md,AI/ML,2.00,N/A,0.026,/Users/steven/iterm2/AGENTS.md
docs.txt,General,0.00,N/A,0.0,/Users/steven/iterm2/docs.txt
event_log.py,General,0.00,low,0.001,/Users/steven/iterm2/agent_ops/event_log.py
handoff.py,AI/ML,1.00,low,0.003,/Users/steven/iterm2/agent_ops/handoff.py
tool_tracker.py,General,0.00,low,0.002,/Users/steven/iterm2/agent_ops/tool_tracker.py
hook_events.py,AI/ML,0.00,low,0.001,/Users/steven/iterm2/agent_ops/hook_events.py
__init__.py,General,0.00,low,0.0,/Users/steven/iterm2/agent_ops/__init__.py
spans.py,AI/ML,1.00,low,0.001,/Users/steven/iterm2/agent_ops/spans.py
version.json,General,0.00,N/A,0.0,/Users/steven/iterm2/Codex/version.json
config.json,AI/ML,0.00,N/A,0.0,/Users/steven/iterm2/Codex/config.json
history.json,AI/ML,0.00,N/A,0.0,/Users/steven/iterm2/Codex/history.json
update-check.json,General,0.00,N/A,0.0,/Users/steven/iterm2/Codex/update-check.json
auth.json,AI/ML,1.00,N/A,0.004,/Users/steven/iterm2/Codex/auth.json
models_cache.json,Automation Scripts,0.00,N/A,0.16,/Users/steven/iterm2/Codex/models_cache.json
config.toml,AI/ML,0.00,N/A,0.003,/Users/steven/iterm2/Codex/config.toml
AGENTS.md,AI/ML,1.00,N/A,0.001,/Users/steven/iterm2/Codex/AGENTS.md
history.jsonl,General,0.00,N/A,7.545,/Users/steven/iterm2/Codex/history.jsonl
